studyTitle,studyYear,studyJournal,studyVolume,studyPages,eventDate,eventYear,eventLocation.country,eventLocation.degreesLat,eventLocation.minutesLat,eventLocation.secondsLat,eventLocation.degreesLon,eventLocation.minutesLon,eventLocation.secondsLon,lat,long,vertebrateClass,speciesName,Egg,Larva,Juvenile,Adult,speciesAffectedType,populationType,screeningReason,numInvolved,totalAnimalsTested,totalAnimalsConfirmedInfected,totalAnimalsConfirmedDiseased,Isolation,EM,PCR,qPCR,Sequencing,genBankAccessionNumbers,ranaSpecies,Year,speciesGenus,Genus,Order,Family
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,34,55,5.9988,-96,41,21.9984,34.918333,-96.689444,amphibian,Rana sphenocephala,0,0,0,0,native,wild,routine,NA,1,0,NA,0,0,0,1,0,NA,NA,2015,Rana,Rana,Anura,Ranidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,34,55,5.9988,-96,41,21.9984,34.918333,-96.689444,amphibian,Notophthalmus viridescens,0,0,0,0,native,wild,routine,NA,7,3,NA,0,0,0,1,0,NA,NA,2015,Notophthalmus,Notophthalmus,Urodela,Salamandridae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,34,55,5.9988,-96,41,21.9984,34.918333,-96.689444,amphibian,Anaxyrus americanus,0,0,0,0,native,wild,routine,NA,1,0,NA,0,0,0,1,0,NA,NA,2015,Anaxyrus,Anaxyrus,Anura,Bufonidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,34,55,5.9988,-96,41,21.9984,34.918333,-96.689444,amphibian,Acris blanchardi,0,0,0,0,native,wild,routine,NA,4,0,NA,0,0,0,1,0,NA,NA,2015,Acris,Acris,Anura,Hylidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,34,55,5.9988,-96,41,21.9984,34.918333,-96.689444,amphibian,Rana catesbieana,0,0,0,0,native,wild,routine,NA,6,1,NA,0,0,0,1,0,NA,NA,2015,Rana,Rana,Anura,Ranidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,34,55,5.9988,-96,41,21.9984,34.918333,-96.689444,amphibian,Rana calmitans,0,0,0,0,native,wild,routine,NA,2,0,NA,0,0,0,1,0,NA,NA,2015,Rana,Rana,Anura,Ranidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,34,55,5.9988,-96,41,21.9984,34.918333,-96.689444,amphibian,Notophthalmus viridescens,0,0,0,0,native,wild,routine,NA,16,8,NA,0,0,0,1,0,NA,NA,2015,Notophthalmus,Notophthalmus,Urodela,Salamandridae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,35,3,30.9996,-95,22,12,35.058611,-95.37,amphibian,Anaxyrus americanus,0,0,0,0,native,wild,routine,NA,2,0,NA,0,0,0,1,0,NA,NA,2015,Anaxyrus,Anaxyrus,Anura,Bufonidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,35,3,30.9996,-95,22,12,35.058611,-95.37,amphibian,Acris blanchardi,0,0,0,0,native,wild,routine,NA,2,0,NA,0,0,0,1,0,NA,NA,2015,Acris,Acris,Anura,Hylidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,35,3,30.9996,-95,22,12,35.058611,-95.37,amphibian,Hyla chrysoscelis/versicolor,0,0,0,0,native,wild,routine,NA,7,0,NA,0,0,0,1,0,NA,NA,2015,Hyla,Hyla,Anura,Hylidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,35,3,30.9996,-95,22,12,35.058611,-95.37,amphibian,Pseudacris fouquettei,0,0,0,0,native,wild,routine,NA,1,1,NA,0,0,0,1,0,NA,NA,2015,Pseudacris,Pseudacris,Anura,Hylidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,35,3,30.9996,-95,22,12,35.058611,-95.37,amphibian,Pseudacris streckeri,0,0,0,0,native,wild,routine,NA,2,0,NA,0,0,0,1,0,NA,NA,2015,Pseudacris,Pseudacris,Anura,Hylidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,35,3,30.9996,-95,22,12,35.058611,-95.37,amphibian,Acris blanchardi,0,0,0,0,native,wild,routine,NA,11,4,NA,0,0,0,1,0,NA,NA,2015,Acris,Acris,Anura,Hylidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,35,3,30.9996,-95,22,12,35.058611,-95.37,amphibian,Hyla chrysoscelis/versicolor,0,0,0,0,native,wild,routine,NA,4,2,NA,0,0,0,1,0,NA,NA,2015,Hyla,Hyla,Anura,Hylidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,35,3,30.9996,-95,22,12,35.058611,-95.37,amphibian,Hyla cinerea,0,0,0,0,native,wild,routine,NA,2,1,NA,0,0,0,1,0,NA,NA,2015,Hyla,Hyla,Anura,Hylidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,35,3,30.9996,-95,22,12,35.058611,-95.37,amphibian,Gastrophryne carolinensis,0,0,0,0,native,wild,routine,NA,7,4,NA,0,0,0,1,0,NA,NA,2015,Gastrophryne,Gastrophryne,Anura,Microhylidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,35,3,30.9996,-95,22,12,35.058611,-95.37,amphibian,Rana catesbieana,0,0,0,0,native,wild,routine,NA,1,0,NA,0,0,0,1,0,NA,NA,2015,Rana,Rana,Anura,Ranidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,35,3,30.9996,-95,22,12,35.058611,-95.37,amphibian,Rana calmitans,0,0,0,0,native,wild,routine,NA,4,0,NA,0,0,0,1,0,NA,NA,2015,Rana,Rana,Anura,Ranidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,35,3,30.9996,-95,22,12,35.058611,-95.37,amphibian,Notophthalmus viridescens,0,0,0,0,native,wild,routine,NA,20,3,NA,0,0,0,1,0,NA,NA,2015,Notophthalmus,Notophthalmus,Urodela,Salamandridae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,34,13,51.9996,-96,22,45.0012,34.231111,-96.379167,amphibian,Rana catesbieana,0,0,0,0,native,wild,routine,NA,2,2,NA,0,0,0,1,0,NA,NA,2015,Rana,Rana,Anura,Ranidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,33,53,44.0016,-95,10,24.9996,33.895556,-95.173611,amphibian,Pseudacris crucifer,0,0,0,0,native,wild,routine,NA,1,1,NA,0,0,0,1,0,NA,NA,2015,Pseudacris,Pseudacris,Anura,Hylidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,33,53,44.0016,-95,10,24.9996,33.895556,-95.173611,amphibian,Rana catesbieana,0,0,0,0,native,wild,routine,NA,12,10,NA,0,0,0,1,0,NA,NA,2015,Rana,Rana,Anura,Ranidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,33,53,44.0016,-95,10,24.9996,33.895556,-95.173611,amphibian,Rana sphenocephala,0,0,0,0,native,wild,routine,NA,8,5,NA,0,0,0,1,0,NA,NA,2015,Rana,Rana,Anura,Ranidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,33,53,44.0016,-95,10,24.9996,33.895556,-95.173611,amphibian,Acris blanchardi,0,0,0,0,native,wild,routine,NA,3,0,NA,0,0,0,1,0,NA,NA,2015,Acris,Acris,Anura,Hylidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,33,53,44.0016,-95,10,24.9996,33.895556,-95.173611,amphibian,Hyla cinerea,0,0,0,0,native,wild,routine,NA,18,0,NA,0,0,0,1,0,NA,NA,2015,Hyla,Hyla,Anura,Hylidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,33,53,44.0016,-95,10,24.9996,33.895556,-95.173611,amphibian,Rana catesbieana,0,0,0,0,native,wild,routine,NA,2,2,NA,0,0,0,1,0,NA,NA,2015,Rana,Rana,Anura,Ranidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,33,53,44.0016,-95,10,24.9996,33.895556,-95.173611,amphibian,Rana sphenocephala,0,0,0,0,native,wild,routine,NA,4,0,NA,0,0,0,1,0,NA,NA,2015,Rana,Rana,Anura,Ranidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,33,53,44.0016,-95,10,24.9996,33.895556,-95.173611,amphibian,Acris blanchardi,0,0,0,0,native,wild,routine,NA,21,1,NA,0,0,0,1,0,NA,NA,2015,Acris,Acris,Anura,Hylidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,33,53,44.0016,-95,10,24.9996,33.895556,-95.173611,amphibian,Hyla cinerea,0,0,0,0,native,wild,routine,NA,1,0,NA,0,0,0,1,0,NA,NA,2015,Hyla,Hyla,Anura,Hylidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,33,53,44.0016,-95,10,24.9996,33.895556,-95.173611,amphibian,Rana catesbieana,0,0,0,0,native,wild,routine,NA,31,5,NA,0,0,0,1,0,NA,NA,2015,Rana,Rana,Anura,Ranidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,33,53,44.0016,-95,10,24.9996,33.895556,-95.173611,amphibian,Rana calmitans,0,0,0,0,native,wild,routine,NA,3,2,NA,0,0,0,1,0,NA,NA,2015,Rana,Rana,Anura,Ranidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,33,53,44.0016,-95,10,24.9996,33.895556,-95.173611,amphibian,Ambystoma opacum,0,0,0,0,native,wild,routine,NA,1,1,NA,0,0,0,1,0,NA,NA,2015,Ambystoma,Ambystoma,Urodela,Ambystomatidae
"Prevalence and distribution of ranavirus in ampibians from southeastern Oklahoma, USA",2019,Herpetological Conservation and Biology,14,360-369,09/01/2015,2015,USA,33,53,44.0016,-95,10,24.9996,33.895556,-95.173611,amphibian,Ambystoma texanum,0,0,0,0,native,wild,routine,NA,1,0,NA,0,0,0,1,0,NA,NA,2015,Ambystoma,Ambystoma,Urodela,Ambystomatidae
Prevalence of ranavirus in Virginia turtles as detected by tail-clip sampling versus oral-cloacal swabbing,2013,Northeastern Naturalist,20,325-332,05/24/2010,2010,USA,37,12,1.8,-79,33,1.08,37.2005,-79.5503,reptile,Chrysemys picta picta,0,0,0,1,native,wild,routine,11_50,21,1,NA,0,0,1,0,0,NA,NA,2010,Chrysemys,Chrysemys,Testudines,Emydidae
Prevalence of ranavirus in Virginia turtles as detected by tail-clip sampling versus oral-cloacal swabbing,2013,Northeastern Naturalist,20,325-332,05/24/2010,2010,USA,37,12,1.8,-79,33,1.08,37.2005,-79.5503,reptile,Sternotherus odoratus,0,0,0,1,native,wild,routine,11_50,21,0,NA,0,0,1,0,0,NA,NA,2010,Sternotherus,Sternotherus,Testudines,Kinosternidae
Prevalence of ranavirus in Virginia turtles as detected by tail-clip sampling versus oral-cloacal swabbing,2013,Northeastern Naturalist,20,325-332,05/24/2010,2010,USA,37,14,34.08,-79,32,9.96,37.2428,-79.5361,reptile,Chrysemys picta picta,0,0,0,1,native,wild,routine,11_50,19,6,NA,0,0,1,0,0,NA,NA,2010,Chrysemys,Chrysemys,Testudines,Emydidae
Prevalence of ranavirus in Virginia turtles as detected by tail-clip sampling versus oral-cloacal swabbing,2013,Northeastern Naturalist,20,325-332,05/24/2010,2010,USA,37,14,34.08,-79,32,9.96,37.2428,-79.5361,reptile,Sternotherus odoratus,0,0,0,1,native,wild,routine,11_50,22,0,NA,0,0,1,0,0,NA,NA,2010,Sternotherus,Sternotherus,Testudines,Kinosternidae
Prevalence of ranavirus in Virginia turtles as detected by tail-clip sampling versus oral-cloacal swabbing,2013,Northeastern Naturalist,20,325-332,05/24/2010,2010,USA,37,14,42.72,-79,32,49.56,37.2452,-79.5471,reptile,Chrysemys picta picta,0,0,0,1,native,wild,routine,11_50,23,4,NA,0,0,1,0,0,NA,NA,2010,Chrysemys,Chrysemys,Testudines,Emydidae
"Prevalence, clinical signs, and natural history characteristics of Frog Virus 3-like infections in eastern box turtles (Terrapene carolina carolina)",2013,Herpetological Conservation and Biology,8,308−320,01/01/2011,2011,USA,36,0,37.0008,-85,43,49.0008,36.010278,-85.730278,reptile,Terrapene carolina,0,0,0,0,native,wild,routine,NA,309,1,NA,0,0,0,1,0,NA,NA,2011,Terrapene,Terrapene,Testudines,Emydidae
"Prevalence, clinical signs, and natural history characteristics of Frog Virus 3-like infections in eastern box turtles (Terrapene carolina carolina)",2013,Herpetological Conservation and Biology,8,308−320,01/01/2011,2011,USA,35,57,42.12,-84,4,36.48,35.9617,-84.0768,reptile,Terrapene carolina,0,0,0,0,native,zoological,routine,NA,38,3,NA,0,0,0,1,0,NA,NA,2011,Terrapene,Terrapene,Testudines,Emydidae
"Prevalence, clinical signs, and natural history characteristics of Frog Virus 3-like infections in eastern box turtles (Terrapene carolina carolina)",2013,Herpetological Conservation and Biology,8,308−320,01/01/2011,2011,USA,38,4,12,-79,6,20.0016,38.07,-79.105556,reptile,Terrapene carolina,0,0,0,0,native,zoological,routine,NA,122,2,NA,0,0,0,1,0,NA,NA,2011,Terrapene,Terrapene,Testudines,Emydidae
"Prevalence, clinical signs, and natural history characteristics of Frog Virus 3-like infections in eastern box turtles (Terrapene carolina carolina)",2013,Herpetological Conservation and Biology,8,308−320,01/01/2011,2011,USA,35,46,0.0012,-79,22,0.0012,35.766667,-79.366667,reptile,Terrapene carolina,0,0,0,0,native,zoological,routine,NA,46,0,NA,0,0,0,1,0,NA,NA,2011,Terrapene,Terrapene,Testudines,Emydidae
"Prevalence, clinical signs, and natural history characteristics of Frog Virus 3-like infections in eastern box turtles (Terrapene carolina carolina)",2013,Herpetological Conservation and Biology,8,308−320,01/01/2011,2011,USA,33,18,15.9984,-87,12,55.0008,33.304444,-87.215278,reptile,Terrapene carolina,0,0,0,0,native,zoological,routine,NA,16,2,NA,0,0,0,1,0,NA,NA,2011,Terrapene,Terrapene,Testudines,Emydidae
"Prevalence, clinical signs, and natural history characteristics of Frog Virus 3-like infections in eastern box turtles (Terrapene carolina carolina)",2013,Herpetological Conservation and Biology,8,308−320,01/01/2011,2011,USA,33,57,0,-84,37,0.0012,33.95,-84.616667,reptile,Terrapene carolina,0,0,0,0,native,zoological,routine,NA,9,0,NA,0,0,0,1,0,NA,NA,2011,Terrapene,Terrapene,Testudines,Emydidae
Rana catesbeiana virus Z (RCV-Z): a novel pathogenic ranavirus,2006,Diseases of Aquatic Organisms,73,1--11,09/01/2002,2002,USA,32,18,20.54165,-84,50,40.1367188,32.305706,-84.844482,amphibian,Rana catesbeiana,0,1,0,0,introduced,production,mortality,500_,NA,NA,NA,1,1,1,0,1,NA,Other,2002,Rana,Rana,Anura,Ranidae
"Ranavirus detection by PCR in cultured tadpoles (Rana catesbeiana Shaw, 1802) from South America",2006,Aquaculture,257,78-82,01/01/2000,2000,Brazil,-17,55,0.3648,-49,41,16.5372,-17.916768,-49.687927,amphibian,Rana catesbeiana,0,1,0,0,native,production,routine,NA,NA,NA,NA,0,0,1,0,1,"AY585203,AY585204,AY744387",NA,2000,Rana,Rana,Anura,Ranidae
"Ranavirus detection by PCR in cultured tadpoles (Rana catesbeiana Shaw, 1802) from South America",2006,Aquaculture,257,78-82,01/01/2000,2000,Uruguay,-35,9,0.0108,-57,56,53.1564,-35.150003,-57.948099,amphibian,Rana catesbeiana,0,1,0,0,native,production,routine,NA,NA,NA,NA,0,0,1,0,1,"AY585203,AY585204,AY744387",NA,2000,Rana,Rana,Anura,Ranidae
Ranavirus epizootic in captive eastern box turtles (Terrapene carolina carolina) with concurrent herpesvirus and mycoplasma infection: management and monitoring,2016,Journal of Zoo and Wildlife Medicine,47,256-270,07/01/2011,2011,USA,39,19,26.0497794,-77,21,28.7186028,39.3239027,-77.357977,reptile,Terrapene carolina,0,0,0,1,native,zoological,mortality,2_10,22,19,NA,0,0,0,1,0,NA,FV3,2011,Terrapene,Terrapene,Testudines,Emydidae
Ranavirus in wild edible frogs Pelophylax kl. esculentus in Denmark,2009,Diseases of Aquatic Organisms,85,7--14,08/01/2008,2008,Denmark,56,15,38.07,10,42,15.7428,56.260575,10.704373,amphibian,Bufo bufo,0,0,0,0,native,wild,mortality,2_10,7,NA,NA,0,0,1,0,1,FJ515796,NA,2008,Bufo,Bufo,Anura,Bufonidae
Ranavirus in wild edible frogs Pelophylax kl. esculentus in Denmark,2009,Diseases of Aquatic Organisms,85,7--14,08/01/2008,2008,Denmark,56,15,38.07,10,42,15.7428,56.260575,10.704373,amphibian,Rana temporaria,0,0,0,0,native,wild,mortality,2_10,2,NA,NA,0,0,1,0,1,FJ515796,NA,2008,Rana,Rana,Anura,Ranidae
Ranavirus in wild edible frogs Pelophylax kl. esculentus in Denmark,2009,Diseases of Aquatic Organisms,85,7--14,08/01/2008,2008,Denmark,55,22,52.41,11,23,50.8884,55.381225,11.397469,amphibian,Pelophylax esculentus,0,0,0,0,native,wild,mortality,500_,2,2,NA,0,0,1,0,1,FJ515796,NA,2008,Pelophylax,Pelophylax,Anura,Ranidae
Ranavirus in wood frogs (Rana sylvatica): Potential sources of transmission within and between ponds,2006,Journal of Wildlife Diseases,42,307-318,03/06/2003,2003,USA,35,29,40.67412,-83,24,32.526,35.4946317,-83.409035,amphibian,Rana sylvatica,0,1,0,0,native,wild,mortality,1,1,NA,NA,0,0,1,0,0,NA,NA,2003,Rana,Rana,Anura,Ranidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/17/2008,2008,USA,41,48,13.68,-75,53,16.8,41.8038,-75.888,amphibian,Ambystoma maculatum,0,1,0,0,native,wild,mortality,NA,2,2,NA,0,0,1,0,0,NA,FV3,2008,Ambystoma,Ambystoma,Urodela,Ambystomatidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/10/2009,2009,USA,43,59,1.68,-75,47,42.72,43.9838,-75.7952,amphibian,Lithobates sylvaticus,0,1,0,0,native,wild,mortality,NA,1,0,NA,0,0,1,0,0,NA,FV3,2009,Lithobates,Rana,Anura,Ranidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/24/2008,2008,USA,43,59,3.12,-75,46,37.2,43.9842,-75.777,amphibian,Ambystoma maculatum,0,1,0,0,native,wild,mortality,NA,3,1,NA,0,0,1,0,0,NA,FV3,2008,Ambystoma,Ambystoma,Urodela,Ambystomatidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/24/2008,2008,USA,43,58,57,-75,46,1.2,43.9825,-75.767,amphibian,Lithobates sylvaticus,0,1,0,0,native,wild,mortality,NA,5,0,NA,0,0,1,0,0,NA,FV3,2008,Lithobates,Rana,Anura,Ranidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/24/2008,2008,USA,43,58,57,-75,46,1.2,43.9825,-75.767,amphibian,Lithobates clamitans,0,0,0,1,native,wild,mortality,NA,1,1,NA,0,0,1,0,0,NA,FV3,2008,Lithobates,Rana,Anura,Ranidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/30/2008,2008,USA,41,12,53.28,-74,10,40.8,41.2148,-74.178,amphibian,Lithobates sylvaticus,0,1,0,0,native,wild,mortality,NA,1,0,NA,0,0,1,0,0,NA,FV3,2008,Lithobates,Rana,Anura,Ranidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/30/2008,2008,USA,41,12,51.84,-74,10,41.88,41.2144,-74.1783,amphibian,Ambystoma spp,0,1,0,0,native,wild,mortality,NA,2,2,NA,0,0,1,0,0,NA,FV3,2008,Ambystoma,Ambystoma,Urodela,Ambystomatidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/30/2008,2008,USA,41,12,55.44,-74,10,41.52,41.2154,-74.1782,amphibian,Ambystoma spp,0,1,0,0,native,wild,mortality,NA,2,2,NA,0,0,1,0,0,NA,FV3,2008,Ambystoma,Ambystoma,Urodela,Ambystomatidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/30/2008,2008,USA,41,12,27.36,-74,8,37.68,41.2076,-74.1438,amphibian,Lithobates sylvaticus,0,1,0,0,native,wild,mortality,NA,2,2,NA,0,0,1,0,0,NA,FV3,2008,Lithobates,Rana,Anura,Ranidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/24/2008,2008,USA,43,59,1.68,-75,47,42.72,43.9838,-75.7952,amphibian,Ambystoma maculatum,0,1,0,0,native,wild,mortality,NA,1,0,NA,0,0,1,0,0,NA,FV3,2008,Ambystoma,Ambystoma,Urodela,Ambystomatidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/24/2008,2008,USA,43,58,57,-75,46,1.2,43.9825,-75.767,amphibian,Ambystoma maculatum,0,1,0,0,native,wild,mortality,NA,3,3,NA,0,0,1,0,0,NA,FV3,2008,Ambystoma,Ambystoma,Urodela,Ambystomatidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/17/2008,2008,USA,41,48,13.68,-75,53,16.8,41.8038,-75.888,amphibian,Ambystoma jeffersonianum,0,1,0,0,native,wild,mortality,NA,2,2,NA,0,0,1,0,0,NA,FV3,2008,Ambystoma,Ambystoma,Urodela,Ambystomatidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/10/2009,2009,USA,43,58,59.16,-75,47,34.8,43.9831,-75.793,amphibian,Lithobates sylvaticus,0,1,0,0,native,wild,mortality,NA,2,2,NA,0,0,1,0,0,NA,FV3,2009,Lithobates,Rana,Anura,Ranidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/10/2009,2009,USA,43,58,57,-75,46,1.2,43.9825,-75.767,amphibian,Lithobates sylvaticus,0,1,0,0,native,wild,mortality,NA,2,2,NA,0,0,1,0,0,NA,FV3,2009,Lithobates,Rana,Anura,Ranidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/30/2008,2008,USA,41,12,51.84,-74,10,41.88,41.2144,-74.1783,amphibian,Hyla versicolor,0,1,0,0,native,wild,mortality,NA,2,0,NA,0,0,1,0,0,NA,FV3,2008,Hyla,Hyla,Anura,Hylidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,05/11/2008,2008,USA,42,42,5.76,-74,8,18.6,42.7016,-74.1385,amphibian,Lithobates sylvaticus,0,1,0,0,native,wild,mortality,NA,10,9,NA,0,0,1,0,0,NA,FV3,2008,Lithobates,Rana,Anura,Ranidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/24/2008,2008,USA,43,59,1.68,-75,47,42.72,43.9838,-75.7952,amphibian,Lithobates sylvaticus,0,1,0,0,native,wild,mortality,NA,5,0,NA,0,0,1,0,0,NA,FV3,2008,Lithobates,Rana,Anura,Ranidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/24/2008,2008,USA,44,0,32.76,-75,46,38.64,44.0091,-75.7774,amphibian,Lithobates sylvaticus,0,1,0,0,native,wild,mortality,NA,1,0,NA,0,0,1,0,0,NA,FV3,2008,Lithobates,Rana,Anura,Ranidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,05/11/2008,2008,USA,42,42,4.32,-74,7,54.12,42.7012,-74.1317,amphibian,Lithobates sylvaticus,0,1,0,0,native,wild,mortality,NA,14,6,NA,0,0,1,0,0,NA,FV3,2008,Lithobates,Rana,Anura,Ranidae
"Ranavirus infection in die-offs of vernal pool amphibians in New York, USA",2011,Herpetological Review,42,76-79,06/30/2008,2008,USA,41,12,8.64,-74,10,25.32,41.2024,-74.1737,amphibian,Ambystoma spp,0,1,0,0,native,wild,mortality,NA,2,1,NA,0,0,1,0,0,NA,FV3,2008,Ambystoma,Ambystoma,Urodela,Ambystomatidae
Ranavirus infection of free-ranging and captive box turtles and tortoises in the United States,2008,Journal of Wildlife Diseases,44,851-863,06/01/2003,2003,USA,31,40,0,-81,10,0,31.66666667,-81.16666667,reptile,Geochelone platynota,0,0,0,1,native,zoological,mortality,2_10,5,5,NA,1,0,1,0,0,NA,NA,2003,Geochelone,Geochelone,Testudines,Testudinidae
Ranavirus infection of free-ranging and captive box turtles and tortoises in the United States,2008,Journal of Wildlife Diseases,44,851-863,06/01/2003,2003,USA,31,40,0,-81,10,0,31.66666667,-81.16666667,amphibian,Rana utricularia,0,1,0,0,native,zoological,mortality,2_10,6,6,NA,1,0,1,0,0,NA,NA,2003,Rana,Rana,Anura,Ranidae
